strategy,price_lookback,short_lookback,volume_fast,volume_slow,breakout_lookback,ma_days,risk_lookback,accumulation_lookback,liquidity_lookback,min_liquidity_quantile,top_n,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,equal_weight_total_return,osebx_total_return,excess_vs_osebx
breakout_liquidity,126,21,10,50,126,50,63,63,20,0.25,8,0.043490270639469975,0.02158838666469287,-0.027123160483594866,0.5068995662951938,0.37680370343265723,0.39099862331886404,-0.34750835267939406
breakout_liquidity,63,21,10,50,63,50,63,63,20,0.25,10,0.042998703468431154,0.021346907180359143,-0.024794690842620315,0.488541717398984,0.37680370343265723,0.39099862331886404,-0.3479999198504329
obv_accumulation,21,21,10,50,63,50,63,63,20,0.25,5,0.04250174226033043,0.021102720253814322,-0.056118457300122215,0.3885752503466319,0.37680370343265723,0.39099862331886404,-0.3484968810585336
obv_accumulation,42,21,10,50,63,50,63,63,20,0.25,10,0.041872546406362066,0.020793475272724127,-0.02539365854604203,0.5392430895615461,0.37680370343265723,0.39099862331886404,-0.34912607691250197
risk_adjusted_momentum,126,21,5,20,63,50,63,63,20,0.25,3,0.04173375769244703,0.020725249148296765,-0.028723608967685554,0.4186061223504536,0.37680370343265723,0.39099862331886404,-0.349264865626417
momentum_volume,42,21,20,100,63,50,63,63,20,0.25,8,0.04133910193492296,0.020531218468422097,-0.035503829445338586,0.4743658814458526,0.37680370343265723,0.39099862331886404,-0.3496595213839411
quiet_accumulation,63,21,20,100,63,50,63,63,20,0.25,10,0.0409728451189777,0.020351117213011305,-0.03253476363495755,0.5418315338385329,0.37680370343265723,0.39099862331886404,-0.35002577819988634
breakout_volume,21,21,5,20,126,50,63,63,20,0.25,5,0.04025211195962286,0.019996615346350444,-0.019237801494563223,0.470956631388547,0.37680370343265723,0.39099862331886404,-0.3507465113592412
breakout_liquidity,189,21,10,50,126,50,63,63,20,0.25,10,0.04011631950802408,0.019929810383949143,-0.022348512121756148,0.5099201427217765,0.37680370343265723,0.39099862331886404,-0.35088230381083996
breakout_liquidity,189,21,10,50,63,50,63,63,20,0.25,3,0.04000268975708332,0.01987390532675648,-0.040155789948786436,0.35252907368268344,0.37680370343265723,0.39099862331886404,-0.3509959335617807
breakout_liquidity,126,21,10,50,126,50,63,63,20,0.25,10,0.03968652988422283,0.019718340823080327,-0.02234851212175626,0.4919585356779213,0.37680370343265723,0.39099862331886404,-0.3513120934346412
