rebalance_date,asof_date,symbol,score,selected
2016-10-31,2016-08-02,NOD,0.012219205855855647,False
2016-10-31,2016-08-02,SUBC,-0.1266887286133912,False
2016-10-31,2016-08-02,TEL,-0.14785277700061128,False
2016-10-31,2016-08-02,KOG,-0.21269166150605257,False
2016-10-31,2016-08-02,EQNR,-0.46490576336866296,False
2016-10-31,2016-08-02,DNB,-0.6429788141452826,False
2016-10-31,2016-08-02,STB,-0.9424750623711152,False
2016-10-31,2016-08-02,FRO,-0.9615703491432122,False
2016-10-31,2016-08-02,AKRBP,-1.628756341934967,False
2016-11-30,2016-09-01,MOWI,1.110522936935815,True
2016-11-30,2016-09-01,SALM,0.860801118746657,True
2016-11-30,2016-09-01,AFG,0.8438766662999928,True
2016-11-30,2016-09-01,BRG,0.43746898168688086,True
2016-11-30,2016-09-01,TOM,0.43534937556378306,True
2016-11-30,2016-09-01,YAR,0.17091222289024435,False
2016-11-30,2016-09-01,ORK,0.16194741319714545,False
2016-11-30,2016-09-01,GJF,0.1575347668322281,False
2016-11-30,2016-09-01,VEI,0.1548509391395546,False
2016-11-30,2016-09-01,NHY,0.1401509404397404,False
2016-11-30,2016-09-01,ATEA,0.11950661055174322,False
2016-11-30,2016-09-01,VEND,0.0785523983774898,False
2016-11-30,2016-09-01,PROT,0.0764726659590703,False
2016-11-30,2016-09-01,NOD,0.012219205855855647,False
2016-11-30,2016-09-01,SUBC,-0.1266887286133912,False
2016-11-30,2016-09-01,TEL,-0.14785277700061128,False
2016-11-30,2016-09-01,KOG,-0.21269166150605257,False
2016-11-30,2016-09-01,EQNR,-0.46490576336866296,False
2016-11-30,2016-09-01,DNB,-0.6429788141452826,False
2016-11-30,2016-09-01,STB,-0.9424750623711152,False
2016-11-30,2016-09-01,FRO,-0.9615703491432122,False
2016-11-30,2016-09-01,AKRBP,-1.628756341934967,False
2016-12-30,2016-10-01,SALM,1.0896562229649767,True
2016-12-30,2016-10-01,MOWI,1.0713830089642353,True
2016-12-30,2016-10-01,AFG,0.9048245046132446,True
2016-12-30,2016-10-01,NHY,0.6861216390140709,True
2016-12-30,2016-10-01,BRG,0.4168079991758963,True
2016-12-30,2016-10-01,VEI,0.3228561700615015,False
2016-12-30,2016-10-01,TOM,0.3133144875227096,False
2016-12-30,2016-10-01,ATEA,0.11097634129466226,False
2016-12-30,2016-10-01,GJF,0.10516973932664667,False
2016-12-30,2016-10-01,ORK,0.04846673284024178,False
2016-12-30,2016-10-01,PROT,0.045343534431599594,False
2016-12-30,2016-10-01,NOD,-0.060771364990862,False
2016-12-30,2016-10-01,SUBC,-0.08354638754541835,False
2016-12-30,2016-10-01,VEND,-0.09387366921203844,False
2016-12-30,2016-10-01,YAR,-0.13806711655539172,False
2016-12-30,2016-10-01,TEL,-0.18539156529506828,False
2016-12-30,2016-10-01,KOG,-0.4076926261579796,False
2016-12-30,2016-10-01,EQNR,-0.5722460784083279,False
