ticker,period_end_date,fundamental_score,quality_score,growth_score
KOG,2017-06-30,-0.1536507044223096,-0.08780392422925695,-0.3511910450014676
PROT,2017-06-30,-0.16387653748486733,-0.1441575048915905,-0.2230336352646979
NOD,2017-06-30,-0.19712303124684977,-0.14564038865898887,-0.35157095901043245
EQNR,2017-06-30,-0.26649546274251246,-0.2565576594482451,-0.29630887262531436
AKRBP,2017-06-30,-0.2808507462395059,-0.2017149181714061,-0.5182582304438051
YAR,2017-06-30,-0.42180857028754676,-0.4361664901662535,-0.37873481065142656
STB,2017-06-30,-0.42783951914444346,-0.5257651619933186,-0.1340625905978182
FRO,2017-06-30,-1.0692499412987355,-1.2799096892290212,-0.4372706975078786
DNB,2017-06-30,-1.6040699125327227,-2.052608345668795,-0.25845461312450496
SUBC,2017-09-30,1.0069202824223715,0.20379501557561921,3.4162960829626288
AFG,2017-09-30,0.9274832809758039,1.241139748542221,-0.013486121723447778
SALM,2017-09-30,0.9246661164066802,1.2194441624370969,0.04033197831543006
MOWI,2017-09-30,0.47533726026839906,0.6194906941089727,0.042876958746678254
TEL,2017-09-30,0.34125232755326956,0.39494269219087935,0.18018123364044025
TOM,2017-09-30,0.2899786412144852,0.38845786480601185,-0.005459029560094751
ATEA,2017-09-30,0.28091524991065886,0.36742193048860305,0.021395208176826237
BRG,2017-09-30,0.17438063201596882,0.22918412401014437,0.00997015603344218
VEI,2017-09-30,0.15310704734037,0.20360810669664892,0.0016038692715331882
NHY,2017-09-30,0.13431602191304473,0.17605837119274084,0.009088974073956355
ORK,2017-09-30,0.11716371944877406,0.16039001963089036,-0.012515181097574808
GJF,2017-09-30,0.07091813767589868,0.09564055269329343,-0.003249107376285575
ELK,2017-09-30,-0.016034481783692402,-0.00032330131023161623,-0.06316802320407476
KOG,2017-09-30,-0.0253206263952344,-0.040104951208633596,0.019032348044963197
AKRBP,2017-09-30,-0.050085055755303816,0.015235222760967788,-0.24604589130411864
PROT,2017-09-30,-0.07308377187480627,-0.09112882147987603,-0.018948623059596978
NOD,2017-09-30,-0.15722097374306454,-0.19764264642519902,-0.03595595569666115
EQNR,2017-09-30,-0.23873705802227316,-0.3078556051043055,-0.031381416776176195
YAR,2017-09-30,-0.34259392158127233,-0.439779683333891,-0.05103663632341632
STB,2017-09-30,-0.4449482259432911,-0.6005318247575131,0.02180257049937505
VEND,2017-09-30,-0.817648217347273,-0.02487499487334603,-3.195967884769054
FRO,2017-09-30,-1.2257217819766841,-1.6061091359755684,-0.08455971998003142
DNB,2017-09-30,-1.5143727258003352,-2.0188950381021997,-0.0008057888947412261
MPCC,2017-09-30,,,
VEND,2017-12-31,0.949240605070079,0.1722854843162122,3.2801059673316795
AFG,2017-12-31,0.9202895169931251,1.2704710507007084,-0.13025508412962505
SALM,2017-12-31,0.8997375181651219,1.2419109625095328,-0.12678281486811085
VEI,2017-12-31,0.363954990972719,0.3888506232772683,0.289268094059071
AKRBP,2017-12-31,0.35563706333554695,-0.040931484587713,1.5453427071053267
ORK,2017-12-31,0.31622755435908556,0.35085205437576994,0.21235405430903243
MOWI,2017-12-31,0.29592791415669,0.44930003385785255,-0.1641884449467977
ATEA,2017-12-31,0.2920242595741572,0.3780077864538621,0.034073678935042394
NOD,2017-12-31,0.2674802579491441,0.25655335064780793,0.30026097985315264
NHY,2017-12-31,0.22606610855337683,0.18770788677120456,0.34114077389989367
TOM,2017-12-31,0.17343646852301717,0.2791075527249878,-0.14357678408289465
